,cv_accuracy,accuracy,precision,recall,f1,f2,mcc,roc_auc,pr_auc,accuracy_drop
XGBoost,0.9990791691441668,0.7947125621007807,0.9688035653068221,0.6606405361178213,0.7855819125277984,0.7055240250986136,0.6427138793200666,0.967277959620743,0.9709716648624247,0.20436660704338616
Decision Tree,0.9981900865241273,0.7904098651525905,0.9592206615314907,0.6598612950985739,0.7818660264992383,0.7037898936170213,0.6318191099413587,0.7353364168681231,0.84133598481515,0.20778022137153684
Random Forest,0.9988251454484189,0.7779009936124911,0.9689597315436241,0.6300163640614042,0.7635642442272277,0.6774080032173738,0.6187723353615294,0.9602238343548164,0.9624011380807305,0.22092415183592784
Logistic Regression,0.9750819577762609,0.751818665720369,0.9146425297891843,0.6220681056650822,0.7405036872130235,0.6645854145854145,0.5544005361843415,0.7698438829014276,0.8600503453910822,0.2232632920558919
Linear SVM,0.9758440345349143,0.7464070262597587,0.9136247384329226,0.6124055170264163,0.7332866806624679,0.6556378683218207,0.5462770926473609,0.7830866310510751,0.8658313615457923,0.22943700827515556
Gaussian NB,0.8440935843707169,0.5571327182398864,0.9814126394052045,0.22629159198940232,0.3677811550151976,0.26744764325578824,0.3235357362704859,0.8008159129313269,0.8852603766849956,0.2869608661308305
